,name,year,selling_price,km_driven,fuel,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats
51,Maruti Ciaz Zeta,2018,850000,64000,Petrol,Manual,First ,20,1462,103.25,5
52,Honda Jazz VX,2015,525000,63000,Diesel,Manual,First ,27,1498,98.6,5
53,Toyota Innova Crysta,2016,1650000,127700,Diesel,Automatic,Second ,11,2755,171.5,7
54,Toyota Innova 2.5,2016,950000,99000,Diesel,Manual,First ,12,2494,100.6,7
55,Audi A6 2.0,2013,1750000,33900,Diesel,Automatic,Second ,17,1968,174.33,5
56,Toyota Corolla Altis,2018,1590000,25000,Petrol,Automatic,First ,14,1798,138.03,5
57,Audi A6 2.0,2013,1689999,50000,Diesel,Automatic,First ,18,1968,187.74,5
58,Mercedes-Benz New C-Class,2013,1425000,59000,Diesel,Automatic,First ,14,2143,170,5
59,Tata Manza ELAN,2011,265000,120000,Diesel,Manual,First ,21,1248,88.8,5
60,Hyundai i10 Magna,2011,190000,110000,Petrol,Manual,Third ,20,1197,78.9,5
61,Hyundai i20 Asta,2013,425000,60000,Diesel,Manual,First ,21,1396,88.76,5
62,Maruti Swift Dzire,2015,630000,147000,Diesel,Manual,Second ,26,1248,74,5
63,Ford Figo 1.2P,2017,600000,25000,Petrol,Manual,Third ,18,1196,86.8,5
64,Maruti Baleno Delta,2019,650000,30000,Petrol,Manual,First ,21,1197,83.1,5
65,Volkswagen Ameo 1.5,2016,540000,40000,Diesel,Manual,First ,22,1498,108.495,5
66,Honda City i,2015,630000,135000,Diesel,Manual,First ,25,1498,98.6,5
67,Maruti Wagon R,2018,448000,30000,Petrol,Automatic,First ,20,998,67,5
68,Volkswagen Ameo 1.5,2017,500000,80000,Diesel,Manual,First ,21,1498,108.62,5
69,Maruti Vitara Brezza,2016,745000,70000,Diesel,Manual,First ,24,1248,88.5,5
70,Maruti Vitara Brezza,2019,1025000,9850,Diesel,Automatic,First ,24,1248,88.5,5
71,Hyundai i10 Magna,2011,235000,60000,Petrol,Manual,Second ,20,1197,78.9,5
72,Maruti Swift VDI,2016,630000,70000,Diesel,Manual,First ,25,1248,74,5
73,Toyota Fortuner 4x4,2015,1700000,78000,Diesel,Manual,Second ,12,2982,168.5,7
74,Maruti Swift Star,2013,450000,120000,Diesel,Manual,Second ,22,1248,74,5
75,Maruti Ertiga ZXI,2012,450000,120000,Petrol,Manual,Second ,16,1373,93.7,7
76,Volkswagen Vento Diesel,2013,450000,170000,Diesel,Manual,First ,20,1598,103.6,5
77,Toyota Innova 2.5,2016,1200000,140000,Diesel,Manual,First ,12,2494,100.6,8
78,Ford EcoSport 1.5,2015,610000,90000,Diesel,Manual,First ,22,1498,98.59,5
79,BMW X1 sDrive20i,2016,2500000,30000,Petrol,Automatic,Second ,15,1998,189,5
80,Maruti Celerio ZXI,2017,484999,10000,Petrol,Manual,First ,23,998,67.04,5
81,Datsun GO A,2016,275000,49000,Petrol,Manual,First ,19,1198,67.05,5
82,Maruti Alto 800,2016,315000,32000,Petrol,Manual,First ,24,796,47.3,5
83,Maruti Alto 800,2016,275000,38000,Petrol,Manual,First ,24,796,47.3,5
84,Hyundai i10 Era,2012,290000,28000,Petrol,Manual,First ,19,1086,68.05,5
85,Maruti Omni 8,2017,280000,32000,Petrol,Manual,First ,14,796,35,5
86,Maruti Wagon R,2010,225000,44000,LPG,Manual,First ,26,998,58.2,5
87,Volkswagen Polo 1.2,2015,455000,42000,Petrol,Manual,First ,16,1198,74,5
88,Hyundai i10 Magna,2015,351000,45000,Petrol,Manual,Second ,19,1086,68.05,5
89,Volkswagen Vento Petrol,2012,535000,12000,Petrol,Manual,Second ,15,1598,103.6,5
90,Maruti Zen Estilo,2009,175000,55500,Petrol,Manual,First ,18,998,67.1,5
91,Hyundai i20 Asta,2013,525000,61500,Petrol,Manual,First ,18,1197,82.85,5
92,Maruti Swift Dzire,2016,600000,150000,Diesel,Manual,First ,26,1248,74,5
93,Hyundai Xcent 1.2,2016,565000,72000,Petrol,Automatic,First ,19,1197,82,5
94,Maruti Alto LX,2008,120000,68000,Petrol,Manual,Third ,19,796,46.3,5
95,Hyundai i20 1.4,2017,725000,110000,Diesel,Manual,First ,22,1396,88.73,5
96,Maruti Wagon R,2009,185000,77000,Petrol,Manual,Second ,21,998,67.05,5
97,Tata Manza Aura,2010,200000,100000,Diesel,Manual,Second ,18,1248,90,5
98,Maruti Swift VXI,2019,615000,10000,Petrol,Manual,First ,21,1197,81.8,5
99,Maruti Eeco 7,2016,270000,100000,Petrol,Manual,Third ,15,1196,73,7
100,Maruti Baleno Zeta,2018,610000,35000,Petrol,Manual,First ,21,1197,83.1,5
101,Mahindra Scorpio VLX,2014,625000,70000,Diesel,Automatic,Second ,11,2179,120,8
102,Ford Freestyle Titanium,2020,400000,5000,Petrol,Manual,Second ,19,1194,94.68,5
103,Hyundai Verna VTVT,2017,866000,37800,Petrol,Manual,First ,17,1591,121.3,5
104,Volkswagen Passat 1.8,2010,700000,114000,Petrol,Manual,First ,14,1798,160,5
105,Tata Indica Vista,2010,300000,48000,Petrol,Manual,First ,15,1172,65,5
106,Mahindra XUV500 W11,2019,1700000,32000,Diesel,Manual,First ,15,2179,155,7
107,Tata Indigo CS,2016,375000,100000,Diesel,Manual,First ,19,1405,69.01,5
108,Hyundai Verna 1.6,2013,522000,150000,Diesel,Manual,Second ,22,1582,126.32,5
109,Hyundai i20 Magna,2013,451999,69000,Diesel,Manual,First ,21,1396,88.76,5
110,Toyota Corolla Altis,2009,300000,100000,Petrol,Manual,Second ,14,1798,138.1,5
111,Maruti Celerio VXI,2020,475000,13000,Petrol,Manual,First ,21,998,67.04,5
112,Maruti Vitara Brezza,2016,780000,60000,Diesel,Manual,First ,24,1248,88.5,5
113,Maruti Swift Dzire,2017,595000,40000,Petrol,Manual,First ,20,1197,83.14,5
114,Maruti Wagon R,2017,440000,35000,Petrol,Manual,First ,20,998,67.04,5
115,Nissan Terrano XL,2014,400000,70000,Diesel,Manual,Third ,20,1461,83.8,5
116,Hyundai Creta 1.6,2016,1140000,50000,Diesel,Manual,First ,19,1582,126.2,5
117,Ford EcoSport 1.5,2017,850000,76139,Diesel,Manual,First ,23,1498,98.96,5
118,Maruti Swift Dzire,2012,370000,175000,Diesel,Manual,Fourth & Above ,19,1248,73.9,5
119,Renault KWID 1.0,2018,350000,25000,Petrol,Manual,First ,23,999,67,5
120,Maruti Celerio VXI,2015,360000,40000,Petrol,Manual,Second ,23,998,67.04,5
121,Maruti Alto LXi,2008,105000,65000,Petrol,Manual,Fourth & Above ,19,796,46.3,5
122,Maruti Ertiga VDI,2013,625000,90000,Diesel,Manual,Second ,20,1248,88.76,7
123,Hyundai Santro Xing,2009,135000,80000,Petrol,Manual,Second ,17,1086,62.1,5
124,Maruti Ertiga VDI,2015,700000,110000,Diesel,Manual,Second ,20,1248,88.76,7
125,Honda Amaze S,2019,690000,1303,Petrol,Manual,First ,17,1198,86.7,5
126,Audi Q5 35TDI,2018,3975000,31800,Diesel,Automatic,First ,17,1968,188,5
127,Lexus ES 300h,2019,5150000,20000,Petrol,Automatic,First ,22,2487,214.56,5
128,Jaguar XF 2.0,2017,3200000,45000,Diesel,Automatic,First ,19,1999,177,5
129,Jeep Wrangler 2016-2019,2017,4100000,17000,Petrol,Automatic,First ,9,3604,280,5
130,Land Rover Discovery,2019,4500000,21000,Diesel,Automatic,First ,12,1999,148.31,7
131,BMW 5 Series,2018,3790000,29500,Diesel,Automatic,First ,22,1995,187.74,5
132,BMW X4 M,2019,5800000,7500,Diesel,Automatic,First ,16,1995,190,5
133,Skoda Superb LK,2018,1864999,50000,Petrol,Automatic,First ,14,1798,177.46,5
134,Mercedes-Benz E-Class E250,2016,2700000,35000,Diesel,Automatic,First ,15,2143,204,5
135,MG Hector Sharp,2019,1750000,19000,Petrol,Automatic,First ,13,1451,141,5
136,Honda City i-VTEC,2017,795000,41000,Petrol,Automatic,First ,18,1497,117.6,5
137,Toyota Corolla Altis,2013,625000,39000,Petrol,Automatic,First ,14,1798,138.03,5
138,Volvo XC40 D4,2018,3400000,22000,Diesel,Automatic,First ,18,1969,190,5
139,Audi Q7 35,2015,2650000,53000,Diesel,Automatic,First ,12,2967,241.4,7
140,Maruti Ciaz ZDi,2015,535000,40000,Diesel,Manual,First ,26,1248,88.5,5
141,Mercedes-Benz S-Class S,2017,5850000,47000,Diesel,Automatic,First ,13,2987,282,5
142,BMW 5 Series,2010,975000,72200,Petrol,Automatic,Second ,10,2497,150,5
143,Hyundai Elantra S,2016,805000,49900,Petrol,Manual,First ,16,1797,147.5,5
144,Jaguar XE 2016-2019,2017,2625000,9000,Diesel,Automatic,First ,13,1999,177,5
145,Tata Nexon 1.2,2018,811000,11000,Petrol,Manual,First ,17,1198,108.5,5
146,Volkswagen Vento Petrol,2011,375000,49000,Petrol,Manual,First ,15,1598,103.6,5
147,Hyundai Elantra SX,2012,550000,95000,Petrol,Manual,First ,16,1797,147.5,5
148,Skoda Rapid 1.6,2016,645000,11000,Petrol,Automatic,First ,14,1598,103.5,5
149,Mercedes-Benz CLA 200,2018,2550000,18000,Petrol,Automatic,First ,15,1991,183,5
150,Maruti Ertiga ZXI,2014,599000,46100,Petrol,Manual,First ,16,1373,93.7,7
151,Mercedes-Benz New C-Class,2017,2700000,16000,Petrol,Automatic,First ,14,1991,181.04,5
152,Honda City V,2017,875000,18000,Petrol,Automatic,First ,15,1497,116.3,5
153,Toyota Glanza V,2019,894999,9654,Petrol,Automatic,First ,19,1197,81.8,5
154,Maruti Alto K10,2011,175000,11000,Petrol,Manual,First ,23,998,67.05,5
155,Maruti Swift VXI,2012,340000,24300,Petrol,Manual,First ,21,1197,81.8,5
156,Toyota Innova Crysta,2016,1525000,42163,Diesel,Automatic,Second ,11,2755,171.5,7
157,Tata Nexon 1.5,2018,1025000,8000,Diesel,Automatic,First ,21,1497,108.5,5
158,BMW 3 Series,2016,2150000,30000,Diesel,Automatic,First ,22,1995,190,5
159,Toyota Camry 2.5,2016,1900000,41000,Petrol,Automatic,First ,19,2494,157.7,5
160,BMW 5 Series,2016,2900000,12000,Diesel,Automatic,First ,18,1995,190,5
161,Toyota Camry W4,2009,450000,71000,Petrol,Automatic,First ,12,2362,164.7,5
162,Maruti Ertiga BSIV,2016,850000,20000,Petrol,Manual,First ,17,1373,91.1,7
163,Volkswagen Vento Diesel,2011,300000,100000,Diesel,Manual,Second ,20,1598,103.6,5
164,Ford Figo Aspire,2018,575000,9500,Petrol,Manual,First ,18,1196,86.8,5
165,Ford Figo Diesel,2011,160000,120000,Diesel,Manual,First ,20,1399,68,5
166,Maruti Swift VXI,2015,515000,36600,Petrol,Manual,First ,20,1197,81.8,5
167,Maruti Wagon R,2015,390000,50000,Petrol,Automatic,Second ,20,998,67,5
168,Hyundai i20 Magna,2016,550000,14000,Petrol,Manual,Second ,18,1197,81.83,5
169,Maruti 800 Std,1999,40000,40000,Petrol,Manual,Second ,16,796,37,4
170,Maruti Ritz VDi,2010,220000,120000,Diesel,Manual,First ,21,1248,73.9,5
171,Hyundai Grand i10,2015,425000,70000,Petrol,Manual,First ,18,1197,82,5
172,Volkswagen Ameo 1.0,2019,480000,13000,Petrol,Manual,First ,19,999,75,5
173,Hyundai Grand i10,2014,400000,60000,Petrol,Manual,Second ,18,1197,82,5
174,Maruti Swift Dzire,2014,487000,35000,Petrol,Manual,First ,19,1197,85.8,5
175,Hyundai Xcent 1.2,2016,386000,44000,Petrol,Manual,Second ,19,1197,82,5
176,Honda City 1.5,2005,100000,120000,Petrol,Manual,Second ,13,1493,100,5
177,Toyota Corolla Altis,2010,300000,60000,Diesel,Manual,First ,21,1364,87.2,5
178,Daewoo Matiz SD,2000,100000,60000,Petrol,Manual,First ,18,796,53,5
179,Toyota Fortuner 4x2,2014,1750000,30000,Diesel,Manual,Second ,13,2982,168.5,7
180,Mahindra KUV 100,2016,450000,15000,Petrol,Manual,Second ,18,1198,82,6
181,Tata Zest Quadrajet,2017,490000,90000,Diesel,Manual,First ,22,1248,74,5
182,Honda City 1.5,2009,345000,47000,Petrol,Manual,Second ,17,1497,118,5
183,Maruti Zen LXI,2005,85000,90000,Petrol,Manual,First ,17,993,60,5
184,Maruti Wagon R,2010,215000,120600,Petrol,Manual,Second ,18,998,67.1,5
185,Hyundai Verna Transform,2010,320000,100000,Petrol,Manual,Third ,16,1599,103.2,5
186,Maruti Swift Dzire,2016,459999,60000,Petrol,Manual,Second ,20,1197,83.14,5
187,Hyundai Getz GLS,2005,65000,86000,Petrol,Manual,First ,15,1341,83,5
188,Hyundai Elite i20,2020,720000,5000,Petrol,Manual,First ,18,1197,81.86,5
189,Maruti Ciaz 1.3,2017,800000,37000,Diesel,Manual,First ,28,1248,88.5,5
190,Tata Tigor 1.2,2019,520000,14000,Petrol,Manual,First ,20,1199,84,5
191,Maruti Ertiga VDI,2015,580000,70000,Diesel,Manual,First ,20,1248,88.76,7
192,Honda City i,2015,600000,50000,Petrol,Manual,First ,17,1497,117.3,5
193,Honda Brio S,2014,290000,60000,Petrol,Manual,Second ,19,1198,86.8,5
194,Maruti Wagon R,2016,360000,50000,CNG,Manual,First ,26,998,58.16,5
195,Maruti Swift Dzire,2017,550000,50000,Petrol,Manual,First ,20,1197,83.14,5
196,Hyundai i20 Sportz,2013,375000,70000,Petrol,Manual,First ,18,1197,82.85,5
197,Maruti Wagon R,2018,420000,35000,Petrol,Automatic,First ,20,998,67,5
198,Maruti Swift Dzire,2017,550000,20000,Petrol,Manual,First ,21,1197,81.8,5
199,Maruti Alto 800,2018,270000,20000,Petrol,Manual,First ,24,796,47.3,5
200,Maruti Swift Dzire,2018,700000,7800,Petrol,Automatic,First ,22,1197,81.8,5
201,Maruti Swift VXI,2017,500000,20000,Petrol,Manual,First ,20,1197,81.8,5
202,Tata Hexa XE,2019,1250000,15000,Diesel,Manual,First ,17,2179,147.94,7
203,Hyundai i20 Magna,2013,320000,31377,Petrol,Manual,Second ,18,1197,82.85,5
204,Maruti Swift Dzire,2018,700000,50000,Diesel,Manual,First ,28,1248,74.02,5
205,Maruti Wagon R,2015,290000,60000,Petrol,Manual,First ,20,998,67.04,5
206,Toyota Corolla Altis,2012,550000,100000,Petrol,Automatic,First ,14,1794,138.1,5
207,Honda Brio S,2012,265000,60000,Petrol,Manual,First ,19,1198,86.8,5
208,Maruti Baleno Alpha,2018,830000,5000,Petrol,Automatic,First ,21,1197,83.1,5
209,Tata Safari Storme,2017,800000,60000,Diesel,Manual,First ,14,2179,147.94,7
210,Maruti Alto LXi,2011,160000,25000,Petrol,Manual,Second ,19,796,46.3,5
211,Renault KWID RXT,2018,335000,30000,Petrol,Manual,First ,25,799,53.3,5
212,Datsun GO T,2017,329000,80000,Petrol,Manual,Second ,20,1198,67,5
213,Maruti Vitara Brezza,2017,775000,75000,Diesel,Manual,First ,24,1248,88.5,5
214,Hyundai Xcent 1.2,2020,524000,32000,Petrol,Manual,First ,20,1197,81.86,5
215,Maruti Alto 800,2015,245000,40000,Petrol,Manual,First ,22,796,47.3,5
216,Hyundai i20 1.2,2012,275000,93000,Petrol,Manual,Second ,17,1197,80,5
217,Tata Zest Revotron,2018,520000,60000,Petrol,Manual,First ,17,1193,88.7,5
218,Nissan Sunny XL,2014,550000,37000,Petrol,Manual,First ,16,1498,97.7,5
219,Ford EcoSport 1.5,2018,910000,15000,Petrol,Manual,First ,17,1497,121.36,5
220,Nissan Micra Active,2015,300000,80000,Petrol,Manual,First ,19,1198,67.04,5
221,Maruti Wagon R,2016,350000,140000,Petrol,Manual,First ,20,998,67.04,5
222,Mahindra Ssangyong Rexton,2013,900000,70000,Diesel,Manual,First ,12,2696,162,7
223,Mahindra Quanto C8,2013,300000,120000,Diesel,Manual,Second ,17,1493,100,7
224,Maruti Ritz LDi,2010,250000,110000,Diesel,Manual,Second ,21,1248,73.9,5
225,Hyundai Creta 1.6,2017,1100000,37000,Diesel,Manual,First ,19,1582,126.2,5
226,Renault KWID RXT,2016,270000,44000,Petrol,Manual,First ,25,799,53.3,5
227,Maruti Ertiga VDI,2015,640000,80000,Diesel,Manual,First ,20,1248,88.76,7
228,Mahindra XUV500 W4,2015,650000,125000,Diesel,Manual,First ,15,2179,140,7
229,Maruti Eeco 5,2017,409999,13500,Petrol,Manual,First ,15,1196,73,5
230,Hyundai Santro Xing,2011,165000,75000,Petrol,Manual,First ,17,1086,62.1,5
231,Hyundai Accent GLE,2007,80000,120000,Petrol,Manual,Second ,13,1495,94,5
232,Mahindra XUV500 W8,2012,535000,120000,Diesel,Manual,First ,15,2179,140,7
233,Toyota Innova 2.5,2013,700000,70000,Diesel,Manual,First ,12,2494,100.57,7
234,Maruti Swift Dzire,2013,550000,70000,Diesel,Manual,First ,23,1248,74,5
235,Honda Amaze S,2019,680000,15000,Petrol,Automatic,First ,19,1199,88.76,5
236,Hyundai i10 Sportz,2009,200000,53000,Petrol,Manual,Second ,20,1197,78.9,5
237,Maruti Swift Dzire,2014,500000,120000,Diesel,Manual,Second ,23,1248,74,5
238,Maruti Ertiga SHVS,2016,1000000,70000,Diesel,Manual,First ,24,1248,88.5,7
239,Hyundai Getz 1.3,2008,110000,120000,Petrol,Manual,Second ,14,1341,82.9,5
240,Hyundai i20 1.2,2012,320000,100000,Petrol,Manual,Second ,18,1197,80,5
241,Maruti Swift LXI,2015,350000,100000,Petrol,Manual,First ,20,1197,83.11,5
242,Tata Indica Vista,2013,170000,162500,Diesel,Manual,First ,19,1405,70,5
243,Hyundai i20 2015-2017,2017,800000,39000,Diesel,Manual,First ,22,1396,88.73,5
244,Maruti Ignis 1.3,2017,500000,75000,Diesel,Manual,First ,26,1248,74,5
245,Tata Hexa XTA,2017,1380000,50000,Diesel,Automatic,First ,17,2179,153.86,7
246,Mahindra Marazzo M6,2019,1300000,40000,Diesel,Manual,First ,17,1497,121,8
247,Hyundai Verna 1.6,2013,530000,92500,Diesel,Manual,First ,22,1582,126.3,5
248,Maruti Swift Dzire,2012,360000,158000,Diesel,Manual,First ,23,1248,74,5
249,Maruti Swift Dzire,2012,310000,120000,Diesel,Manual,First ,19,1248,73.9,5
250,Honda City i,2015,725000,50000,Diesel,Manual,Second ,26,1498,98.6,5
251,Maruti Swift Dzire,2012,340000,110000,Diesel,Manual,First ,19,1248,73.9,5
252,Hyundai Xcent 1.2,2017,550000,2000,Diesel,Manual,Second ,25,1186,73.97,5
253,Toyota Fortuner 3.0,2011,1150000,181000,Diesel,Manual,Second ,11,2982,171,7
254,Tata Tiago 1.05,2016,380000,70000,Diesel,Manual,First ,27,1047,69,5
255,Nissan Sunny XL,2013,350000,90000,Petrol,Automatic,Second ,17,1498,99.6,5
256,Hyundai Elite i20,2019,610000,2000,Petrol,Manual,First ,18,1197,81.86,5
257,Maruti Swift Dzire,2015,525000,20000,Petrol,Manual,First ,20,1197,83.14,5
258,Toyota Innova 2.5,2011,480000,120000,Diesel,Manual,First ,12,2494,102,7
259,Mahindra Thar CRDe,2017,780000,35000,Diesel,Manual,First ,16,2498,105,6
260,Maruti Swift Dzire,2012,320000,193000,Diesel,Manual,First ,19,1248,73.9,5
261,Maruti Swift 1.2,2014,375000,80000,Petrol,Manual,First ,20,1197,81.8,5
262,Datsun GO D,2019,300000,40000,Petrol,Manual,First ,19,1198,67.05,5
263,Hyundai i20 Asta,2015,500000,70000,Diesel,Manual,Fourth & Above ,22,1396,88.73,5
264,Mahindra Scorpio LX,2011,404000,122358,Diesel,Manual,First ,12,2179,120,9
265,Tata Sumo Gold,2015,500000,75000,Diesel,Manual,First ,14,2956,69.01,7
266,Tata Tiago Wizz,2017,350000,120000,Diesel,Manual,First ,27,1047,69,5
267,Tata Zest Revotron,2015,380000,40000,Petrol,Manual,First ,17,1193,88.7,5
268,Hyundai Accent GLE,2008,114999,95200,Petrol,Manual,Third ,13,1495,94,5
269,Honda Brio Exclusive,2014,335000,33033,Petrol,Manual,First ,19,1198,86.8,5
270,Hyundai Grand i10,2015,465000,63063,Petrol,Automatic,First ,18,1197,82,5
271,Tata Manza Club,2012,290000,60000,Diesel,Manual,First ,21,1248,88.76,5
272,Maruti Alto LX,2005,110000,45000,Petrol,Manual,Second ,19,796,46.3,5
273,Tata New Safari,2011,450000,80000,Diesel,Manual,Third ,11,2179,138.1,7
274,Mahindra Bolero SLE,2009,400000,170000,Diesel,Manual,Second ,13,2523,63,7
275,Mahindra Bolero DI,2007,210000,207890,Diesel,Manual,Second ,13,2523,63,7
276,Mercedes-Benz GL-Class 220d,2018,4600000,7976,Diesel,Automatic,First ,17,2143,170,5
277,Maruti Omni E,2016,220000,35000,Petrol,Manual,First ,16,796,34.2,8
278,Hyundai Grand i10,2017,450000,35000,Petrol,Manual,First ,18,1197,82,5
279,Hyundai Grand i10,2017,450000,35000,Petrol,Manual,First ,18,1197,82,5
280,Hyundai i10 Sportz,2013,290000,50000,Petrol,Automatic,First ,16,1197,78.9,5
281,Maruti Swift VXI,2016,520000,20000,Petrol,Manual,First ,20,1197,81.8,5
282,Hyundai i10 Sportz,2011,265000,20000,Petrol,Automatic,First ,16,1197,78.9,5
283,Maruti Swift VXI,2012,330000,50000,Petrol,Manual,Second ,18,1197,85.8,5
284,Maruti Swift VXI,2012,330000,50000,Petrol,Manual,Second ,18,1197,85.8,5
285,Mahindra Bolero 2011-2019,2014,509999,120000,Diesel,Manual,First ,15,2523,62.1,7
286,Hyundai Verna 1.6,2014,500000,70000,Petrol,Manual,First ,17,1591,121.3,5
287,Hyundai i20 Active,2015,525000,50000,Petrol,Manual,First ,17,1197,81.86,5
288,Maruti Baleno Zeta,2019,675000,16500,Petrol,Manual,First ,21,1197,81.8,5
289,Hyundai i20 1.2,2010,300000,70000,Petrol,Manual,First ,17,1197,80,5
290,Maruti Alto LXI,2005,90000,99361,Petrol,Manual,Second ,19,796,46.3,5
291,Maruti Swift Dzire,2017,650000,25000,Diesel,Manual,First ,26,1248,74,5
292,Maruti Swift Dzire,2014,409000,70000,Petrol,Manual,Second ,19,1197,85.8,5
293,Hyundai Grand i10,2015,395000,80000,Diesel,Manual,Second ,24,1120,70,5
294,Maruti Swift Dzire,2014,400000,70000,Petrol,Manual,Second ,19,1197,85.8,5
295,Chevrolet Beat LS,2012,120000,60000,Petrol,Manual,Third ,18,1199,79.4,5
296,Tata Tigor 1.2,2018,645000,10000,Petrol,Automatic,First ,20,1199,84,5
297,Maruti 800 Std,2006,81000,80000,Petrol,Manual,First ,16,796,37,4
298,Honda City i-DTEC,2017,1300000,30000,Diesel,Manual,First ,25,1498,97.9,5
299,Honda City i-DTEC,2017,1250000,33000,Diesel,Manual,First ,25,1498,97.9,5
300,Maruti Ertiga VXI,2013,535000,90000,Petrol,Manual,Third ,16,1373,93.7,7
301,Nissan Terrano XV,2014,555000,80100,Diesel,Manual,Second ,19,1461,108.5,5
302,Honda City i,2014,725000,120000,Petrol,Manual,First ,17,1497,117.3,5
303,Renault KWID RXL,2016,229999,40000,Petrol,Manual,First ,25,799,53.3,5
304,Toyota Innova 2.5,2013,800000,160000,Diesel,Manual,Second ,12,2494,100.6,8
